ArraySize,Series,Attempt,Time,Passes,Swaps
4000,7,14,0.046231,2034,3967913
4000,7,15,0.048339,2058,4022479
4000,7,16,0.049332,2084,4137019
4000,7,17,0.048458,1980,3949103
4000,7,18,0.047793,1994,3970084
4000,7,19,0.051855,1992,3948393
4000,7,20,0.053068,2040,3991613
4000,8,1,0.049578,2010,4005007
4000,8,2,0.046712,1978,3985839
4000,8,3,0.047347,2020,3978394
4000,8,4,0.047945,2004,3977275
4000,8,5,0.045883,2034,4014524
4000,8,6,0.045815,1962,3984523
4000,8,7,0.044567,1990,3912969
4000,8,8,0.045511,2010,4001129
4000,8,9,0.04674,2056,4119675
4000,8,10,0.048032,2010,3986272
4000,8,11,0.049118,2026,4031992
4000,8,12,0.045598,2018,3987160
4000,8,13,0.046958,2048,4074454
4000,8,14,0.046847,1950,3976920
4000,8,15,0.045107,1958,3890341
4000,8,16,0.045471,1998,3996819
4000,8,17,0.04674,1986,3964181
4000,8,18,0.046189,1966,3982627
4000,8,19,0.045585,1988,3974114
4000,8,20,0.047,1950,3929048
8000,1,1,0.189552,4028,16004080
8000,1,2,0.183888,3970,15938075
8000,1,3,0.183704,3948,15926171
8000,1,4,0.186972,4048,15905379
8000,1,5,0.186918,4082,16104863
8000,1,6,0.183686,3978,15943304
8000,1,7,0.184864,3974,15884103
8000,1,8,0.186699,4068,16193707
8000,1,9,0.185499,4028,16089830
8000,1,10,0.182433,3998,15876145
8000,1,11,0.188055,4082,16189801
8000,1,12,0.180727,3930,15708564
8000,1,13,0.191469,4004,16017748
8000,1,14,0.180999,3944,15790733
8000,1,15,0.182482,4038,16127355
8000,1,16,0.187247,4026,16019958
8000,1,17,0.184578,4040,15922381
8000,1,18,0.185466,4098,16076766
8000,1,19,0.185258,4058,16033481
8000,1,20,0.188415,4066,16119746
8000,2,1,0.184476,4002,15973497
8000,2,2,0.182423,3986,15950758
8000,2,3,0.182817,3972,15885213
8000,2,4,0.186543,4102,16349353
8000,2,5,0.182805,4020,16004828
8000,2,6,0.188811,4092,16134056
8000,2,7,0.184966,4016,15883320
8000,2,8,0.185215,4010,16002799
8000,2,9,0.182796,3876,15624314
8000,2,10,0.187561,4054,16092178
8000,2,11,0.185952,4072,16135821
8000,2,12,0.182965,3974,15916395
8000,2,13,0.187773,4108,16322152
8000,2,14,0.193743,4040,16093759
8000,2,15,0.186733,4018,15957735
8000,2,16,0.183155,4016,16084302
8000,2,17,0.185084,4036,16103823
8000,2,18,0.183964,3918,15767334
8000,2,19,0.185535,4034,15977387
8000,2,20,0.18512,4010,16094370
8000,3,1,0.184067,4044,16074926
8000,3,2,0.187038,4066,16090840
8000,3,3,0.183294,3986,15912351
8000,3,4,0.184027,3984,15845001
8000,3,5,0.185338,4092,15990384
8000,3,6,0.184881,3974,15841176
8000,3,7,0.185009,4032,16190031
8000,3,8,0.182865,4024,15943770
8000,3,9,0.183455,4044,15912174
8000,3,10,0.183073,3942,15852678
8000,3,11,0.183988,3964,15856874
8000,3,12,0.182848,4006,16087027
8000,3,13,0.183516,4004,16016672
8000,3,14,0.184612,4058,16223844
8000,3,15,0.183024,4018,15991147
8000,3,16,0.183869,4042,16055502
8000,3,17,0.190112,4002,15942794
8000,3,18,0.181018,3988,15962863
8000,3,19,0.185734,4056,16078786
8000,3,20,0.188407,4026,16100264
8000,4,1,0.187351,3970,15982594
8000,4,2,0.185526,4000,15954058
8000,4,3,0.190485,4108,16275430
8000,4,4,0.184038,4024,15927774
8000,4,5,0.186336,3954,15931400
8000,4,6,0.185427,4032,16010754
8000,4,7,0.186258,4020,15914048
8000,4,8,0.183096,4054,16078570
8000,4,9,0.184563,4054,16123787
8000,4,10,0.186653,4038,16039566
8000,4,11,0.187529,4006,15881417
8000,4,12,0.185373,4046,16093554
8000,4,13,0.187965,4092,16195733
8000,4,14,0.186872,4044,16075420
8000,4,15,0.185371,4076,16162410
8000,4,16,0.186508,4006,16000132
8000,4,17,0.182912,4040,15956532
8000,4,18,0.189618,4066,16068790
8000,4,19,0.188948,4104,16068134
8000,4,20,0.186274,4018,15937759
8000,5,1,0.188965,4006,15964796
8000,5,2,0.185767,4040,16037330
8000,5,3,0.181741,3998,15895087
8000,5,4,0.183595,4010,15854299
8000,5,5,0.185236,4074,16078632
8000,5,6,0.18723,4042,15899721
8000,5,7,0.183353,3986,15894577
8000,5,8,0.181258,4002,15786536
8000,5,9,0.182108,4000,15893578
8000,5,10,0.188617,4084,16121390
8000,5,11,0.182544,4000,15892362
